contracts[0].implementation.transactions[0].value.amount,contracts[0].value.amount,sumid.impletrans,resta.impletrans,porc.impletrans,flag.impletrans
0.0,2789.72,0.0,-2789.72,-1.0,1
0.0,2842.0,0.0,-2842.0,-1.0,1
0.0,5750.0,0.0,-5750.0,-1.0,1
0.0,6624.0,0.0,-6624.0,-1.0,1
0.0,4840.55,0.0,-4840.55,-1.0,1
0.0,5520.0,0.0,-5520.0,-1.0,1
0.0,13478.34,0.0,-13478.34,-1.0,1
0.0,2842.0,0.0,-2842.0,-1.0,1
0.0,2020.49,0.0,-2020.49,-1.0,1
0.0,18000.3,0.0,-18000.3,-1.0,1
0.0,18877.84,0.0,-18877.84,-1.0,1
0.0,4384.8,0.0,-4384.8,-1.0,1
0.0,67003.57,0.0,-67003.57,-1.0,1
0.0,3480.0,0.0,-3480.0,-1.0,1
0.0,191268.53,0.0,-191268.53,-1.0,1
0.0,6510.0,0.0,-6510.0,-1.0,1
0.0,15515.32,0.0,-15515.32,-1.0,1
0.0,59112.0,0.0,-59112.0,-1.0,1
0.0,7582.0,0.0,-7582.0,-1.0,1
0.0,10375.0,0.0,-10375.0,-1.0,1
0.0,2052.0,0.0,-2052.0,-1.0,1
0.0,10423.99,0.0,-10423.99,-1.0,1
0.0,4129.86,0.0,-4129.86,-1.0,1
0.0,5684.0,0.0,-5684.0,-1.0,1
0.0,2401.2,0.0,-2401.2,-1.0,1
0.0,5104.0,0.0,-5104.0,-1.0,1
0.0,11368.0,0.0,-11368.0,-1.0,1
0.0,2088.0,0.0,-2088.0,-1.0,1
0.0,7482.0,0.0,-7482.0,-1.0,1
0.0,11101.2,0.0,-11101.2,-1.0,1
0.0,6564.0,0.0,-6564.0,-1.0,1
0.0,20880.0,0.0,-20880.0,-1.0,1
0.0,76843.04,0.0,-76843.04,-1.0,1
0.0,9200.0,0.0,-9200.0,-1.0,1
0.0,16870.27,0.0,-16870.27,-1.0,1
0.0,4593.6,0.0,-4593.6,-1.0,1
0.0,3405.01,0.0,-3405.01,-1.0,1
0.0,2350.16,0.0,-2350.16,-1.0,1
0.0,5220.0,0.0,-5220.0,-1.0,1
0.0,9252.0,0.0,-9252.0,-1.0,1
0.0,3745.0,0.0,-3745.0,-1.0,1
0.0,19736.04,0.0,-19736.04,-1.0,1
0.0,7830.0,0.0,-7830.0,-1.0,1
0.0,2676.19,0.0,-2676.19,-1.0,1
0.0,7444.0,0.0,-7444.0,-1.0,1
0.0,2651.76,0.0,-2651.76,-1.0,1
0.0,7473.42,0.0,-7473.42,-1.0,1
0.0,5330.0,0.0,-5330.0,-1.0,1
0.0,7444.0,0.0,-7444.0,-1.0,1
0.0,2052.0,0.0,-2052.0,-1.0,1
0.0,10375.0,0.0,-10375.0,-1.0,1
0.0,13025.23,0.0,-13025.23,-1.0,1
0.0,54898.62,0.0,-54898.62,-1.0,1
